"No.","Time","Source","Destination","Protocol","Length","Info"
"163","1.989533","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=71149 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"164","1.989533","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=72601 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"165","1.989533","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=74053 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"166","1.989557","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=75505 Win=1026 Len=0"
"167","1.989916","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=75505 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"168","1.990119","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [PSH, ACK] Seq=76957 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"169","1.990132","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=78409 Win=1026 Len=0"
"170","1.990325","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=78409 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"171","1.990530","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=79861 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"172","1.990541","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=81313 Win=1026 Len=0"
"173","1.990781","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=81313 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"174","1.991073","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=82765 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"175","1.991082","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=84217 Win=1026 Len=0"
"176","1.991281","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=84217 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"177","1.991519","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=85669 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"178","1.991527","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=87121 Win=1026 Len=0"
"179","1.991773","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=87121 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"180","1.991773","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=88573 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"181","1.991788","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=90025 Win=1026 Len=0"
"182","1.992063","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=90025 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"183","1.992293","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=91477 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"184","1.992301","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=92929 Win=1026 Len=0"
"186","2.026846","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=92929 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"187","2.026846","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=94381 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"188","2.026892","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=95833 Win=1026 Len=0"
"189","2.027099","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=95833 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"190","2.027303","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=97285 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"191","2.027312","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=98737 Win=1026 Len=0"
